"Template Haskell
Algorithm",Haskell Compile,Code Generation,C Compile,Execution,,"MiniFeldspar
Algorithm",Haskell Compile,Code Generation,C Compile,Execution
CRC,11.32,158.67,0.21,0.83,,CRC,6.01,0.08,0.24,2.67
FFT,11.25,0.37,0.11,5.43,,FFT,5.77,0.00,0.14,more than 600
IP,11.20,0.01,0.10,0.49,,IP,6.16,0.00,0.11,0.52
