(QMiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run,,(MiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run
IPGray,12.00,0.01,0.08,0.43,,IPGray,6.55,0.00,0.08,0.45
IPBW,11.91,0.00,0.08,0.20,,IPBW,6.35,0.00,0.09,0.20
FFT,13.07,0.25,0.09,5.14,,FFT,8.21,0.49,0.14,No Data
CRC,13.39,0.01,0.07,0.15,,CRC,5.98,0.01,0.09,0.15
Windowing,12.01,0.01,0.09,0.32,,Windowing,6.65,0.01,0.09,0.33
