(QMiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run,,(MiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run
IPGray,13.27,0.00,0.08,0.51,,IPGray,6.85,0.00,0.08,0.53
IPBW,12.23,0.00,0.23,0.25,,IPBW,9.77,0.00,0.13,0.31
FFT,13.43,0.29,0.17,5.86,,FFT,6.85,0.08,0.13,6.33
CRC,12.67,20.31,0.15,164.85,,CRC,7.15,565.95,0.26,3.12
Windowing,13.24,0.04,0.12,0.46,,Windowing,7.10,0.01,0.11,0.41
