(QMiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run,,(MiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run
IPGray,12.51,0.01,0.22,0.49,,IPGray,7.01,0.00,0.08,0.48
IPBW,12.71,0.00,0.10,0.26,,IPBW,6.66,0.00,0.07,0.29
FFT,12.10,0.30,0.09,0.00,,FFT,6.83,0.07,0.10,0.00
CRC,12.33,19.44,0.14,0.04,,CRC,6.74,541.41,0.28,0.00
Windowing,12.31,0.01,0.10,0.49,,Windowing,7.28,0.00,0.10,0.34
