(QMiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run,,(MiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run
IPGray,13.22,0.01,0.10,0.54,,IPGray,7.01,0.00,0.09,0.51
IPBW,13.10,0.00,0.11,0.26,,IPBW,9.64,0.00,0.10,0.23
FFT,13.30,0.33,0.12,0.00,,FFT,7.15,0.08,0.10,0.00
CRC,13.41,20.86,0.14,0.05,,CRC,7.42,574.40,0.30,0.00
Windowing,13.16,0.01,0.12,0.47,,Windowing,7.07,0.00,0.10,0.42
